"","","Estimated number of road traffic deaths","Estimated number of road traffic deaths","Estimated number of road traffic deaths","Estimated road traffic death rate (per 100 000 population)","Estimated road traffic death rate (per 100 000 population)","Estimated road traffic death rate (per 100 000 population)"
"WHO region","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Global"," 2019","1282150 [1008400-1554236]","958269 [747799-1160914]","323881 [260601-393322]","16.7 [13.1-20.2]","24.8 [19.3-30.0]","8.5 [6.8-10.3]"
"Global"," 2018","1268218 [1003208-1522610]","948868 [743020-1138174]","319350 [260189-384436]","16.7 [13.2-20.0]","24.8 [19.4-29.7]","8.5 [6.9-10.2]"
"Global"," 2017","1256194 [1003092-1491114]","939963 [742111-1114896]","316231 [260982-376218]","16.7 [13.4-19.9]","24.8 [19.6-29.4]","8.5 [7.0-10.1]"
"Global"," 2016","1252811 [1008680-1472508]","937751 [746150-1100788]","315060 [262530-371719]","16.9 [13.6-19.8]","25.0 [19.9-29.4]","8.6 [7.1-10.1]"
"Global"," 2015","1245500 [1006560-1452519]","933398 [744184-1086690]","312102 [262376-365829]","17.0 [13.7-19.8]","25.2 [20.1-29.3]","8.6 [7.2-10.0]"
"Global"," 2014","1248371 [1010498-1445710]","937817 [748127-1084733]","310554 [262371-360977]","17.2 [13.9-19.9]","25.6 [20.4-29.6]","8.6 [7.3-10.0]"
"Global"," 2013","1258855 [1015475-1454850]","947045 [750976-1093675]","311810 [264500-361174]","17.5 [14.2-20.3]","26.2 [20.8-30.2]","8.8 [7.4-10.2]"
"Global"," 2012","1275304 [1028542-1468949]","960787 [761013-1104674]","314517 [267528-364275]","18.0 [14.5-20.7]","26.9 [21.3-30.9]","8.9 [7.6-10.4]"
"Global"," 2011","1274238 [1032444-1462986]","959177 [764073-1099182]","315062 [268371-363804]","18.2 [14.7-20.9]","27.2 [21.6-31.1]","9.1 [7.7-10.5]"
"Global"," 2010","1258626 [1017196-1444729]","945908 [750836-1083454]","312718 [266360-361275]","18.2 [14.7-20.9]","27.1 [21.5-31.0]","9.1 [7.8-10.5]"
"Global"," 2009","1251283 [1019715-1431369]","940202 [753633-1073218]","311081 [266082-358152]","18.3 [14.9-20.9]","27.3 [21.9-31.1]","9.2 [7.8-10.6]"
"Global"," 2008","1257050 [1028288-1435419]","943561 [759916-1075006]","313489 [268372-360413]","18.6 [15.2-21.3]","27.7 [22.3-31.6]","9.4 [8.0-10.8]"
"Global"," 2007","1257615 [1038422-1435481]","940294 [766738-1070632]","317321 [271684-364849]","18.9 [15.6-21.5]","28.0 [22.8-31.8]","9.6 [8.2-11.0]"
"Global"," 2006","1246441 [1033314-1423869]","927480 [760540-1056674]","318961 [272774-367196]","18.9 [15.7-21.6]","27.9 [22.9-31.8]","9.8 [8.3-11.2]"
"Global"," 2005","1232889 [1026713-1407226]","916611 [756389-1043225]","316278 [270324-364000]","18.9 [15.8-21.6]","28.0 [23.1-31.8]","9.8 [8.4-11.3]"
"Global"," 2004","1212036 [1016407-1385068]","898769 [748526-1024211]","313267 [267881-360857]","18.9 [15.8-21.6]","27.8 [23.1-31.6]","9.8 [8.4-11.3]"
"Global"," 2003","1209728 [1019336-1386275]","893382 [749182-1021497]","316346 [270154-364779]","19.1 [16.1-21.8]","27.9 [23.4-31.9]","10.0 [8.6-11.6]"
"Global"," 2002","1210432 [1021437-1396245]","888421 [746784-1024344]","322011 [274653-371902]","19.3 [16.3-22.3]","28.1 [23.7-32.4]","10.4 [8.8-12.0]"
"Global"," 2001","1187214 [1004660-1373707]","867477 [732025-1003837]","319737 [272635-369870]","19.2 [16.2-22.2]","27.8 [23.5-32.2]","10.4 [8.9-12.0]"
"Global"," 2000","1167008 [986526-1359990]","849999 [717031-992962]","317009 [269496-367029]","19.1 [16.1-22.3]","27.6 [23.3-32.3]","10.4 [8.9-12.1]"
"Africa"," 2019","297087 [238813-356057]","209351 [168413-250570]","87736 [70400-105486]","27.2 [21.9-32.6]","38.4 [30.9-46.0]","16.0 [12.9-19.3]"
"Africa"," 2018","286694 [230521-343416]","202029 [162672-241613]","84665 [67849-101803]","27.0 [21.7-32.3]","38.1 [30.6-45.5]","15.9 [12.7-19.1]"
"Africa"," 2017","278523 [223952-333755]","196122 [157844-234588]","82402 [66108-99167]","26.9 [21.6-32.2]","37.9 [30.5-45.4]","15.9 [12.7-19.1]"
"Africa"," 2016","272084 [218626-326247]","191407 [153959-229009]","80676 [64666-97238]","27.0 [21.7-32.3]","38.0 [30.6-45.5]","16.0 [12.8-19.2]"
